date,time,seconds,state,sensor_name,thing_name,thing_ip
06/12/24,14:26,1718220363.9797378,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:26,1718220365.5492768,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:26,1718220367.985701,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:26,1718220369.5548162,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:33,1718220838.0770836,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:33,1718220838.536636,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:34,1718220842.082656,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:34,1718220842.5425196,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:34,1718220880.1237676,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:34,1718220880.5880044,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:34,1718220886.1316528,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:34,1718220886.5961528,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:51,1718221893.248019,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:51,1718221893.7558973,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,15:29,1718224195.7835426,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,15:29,1718224196.44586,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,15:55,1718225740.2467573,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,15:55,1718225741.4734128,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,15:58,1718225935.6844769,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,15:58,1718225936.4744442,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,18:13,1718234029.863863,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,18:13,1718234030.5644176,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,18:14,1718234089.9368706,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,18:14,1718234090.633422,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,08:31,1718285515.188986,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,08:31,1718285515.723426,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,13:17,1718302633.7815368,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,13:17,1718302634.023426,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314094.6638942,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314095.1368008,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314100.6719334,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314101.1449351,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314103.148435,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314105.1518693,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314107.1553404,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,16:28,1718314109.1588037,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,18:21,1718320899.1187785,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,18:21,1718320900.1350648,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,18:21,1718320911.1344116,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/13/24,18:21,1718320912.148888,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:54,1718391279.8039236,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:54,1718391279.964861,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:54,1718391283.8099458,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:54,1718391283.9703157,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:58,1718391482.0430925,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:58,1718391482.186128,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:58,1718391500.065599,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,13:58,1718391500.2080474,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,14:31,1718393466.3468566,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,14:31,1718393466.35817,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,14:31,1718393472.355143,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,14:31,1718393472.364678,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,15:22,1718396533.886054,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,15:22,1718396535.722228,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,16:23,1718400221.7901218,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,16:23,1718400222.1939564,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,16:33,1718400782.4098003,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,16:33,1718400782.8409984,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,18:44,1718408649.0661092,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/14/24,18:44,1718408649.9706678,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/17/24,18:16,1718666194.7890053,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/17/24,18:16,1718666195.242544,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/17/24,18:56,1718668611.6206994,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/17/24,18:56,1718668613.624167,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/17/24,18:57,1718668623.637137,0.0,Door Sensor,Back Door Pi,192.168.86.151
